MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice,Total Bath,Total Porch SF
160,RM,21.0,1680,Pave,Reg,Lvl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,483.0,GasA,TA,Y,SBrkr,987,2,1,TA,4,Typ,0,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0,0,0,7,2008,COD,85400,1.5,0
20,RL,64.0,7488,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1208.0,GasA,Ex,Y,SBrkr,1208,2,1,Gd,6,Typ,0,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,0,0,2,2006,WD ,183600,2.0,58
70,RL,120.0,26400,Pave,Reg,Bnk,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,NA,NA,NA,0.0,GasA,Ex,Y,SBrkr,2016,4,1,TA,7,Mod,1,Attchd,1900.0,Unf,2.0,576.0,TA,TA,P,0,0,0,6,2009,WD ,131000,1.0,0
160,FV,24.0,2645,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,TA,PConc,Gd,TA,No,960.0,GasA,Ex,Y,SBrkr,1607,3,1,Gd,7,Typ,0,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,0,12,2008,ConLD,200000,3.5,0
20,RL,74.0,9627,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1351.0,GasA,Ex,Y,SBrkr,1361,3,1,Gd,6,Typ,0,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,0,0,6,2008,WD ,193000,2.0,50
20,RL,93.0,10114,Pave,Reg,Lvl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,Av,1430.0,GasA,Ex,Y,SBrkr,1430,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,0,3,2010,WD ,173500,2.0,0
70,RM,34.0,4571,Pave,Reg,Lvl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,624.0,GasA,Fa,N,SBrkr,1344,4,1,TA,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,0,5,2008,COD,98000,1.0,96
20,RL,80.0,8816,Pave,Reg,Lvl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,1121.0,GasA,TA,Y,SBrkr,1121,3,1,TA,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,0,0,6,2009,WD ,139000,2.0,80
20,RL,71.0,8197,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,TA,CBlock,TA,TA,No,660.0,GasA,Ex,Y,SBrkr,1285,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,0,4,2007,WD ,143500,1.5,0
60,FV,72.0,8640,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,756.0,GasA,Ex,Y,SBrkr,1547,3,1,Gd,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,0,0,6,2010,Con,215200,2.5,45
20,RL,109.0,8724,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,No,894.0,GasA,Gd,Y,SBrkr,894,3,1,TA,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,0,5,2007,WD ,129000,1.0,0
120,RL,40.0,5664,Pave,IR1,Lvl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,No,1501.0,GasA,Ex,Y,SBrkr,1659,2,1,Ex,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,0,0,10,2009,WD ,278000,3.0,59
60,RL,103.0,12867,Pave,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,NA,0,Gd,TA,PConc,Ex,TA,Av,1209.0,GasA,Ex,Y,SBrkr,2253,3,1,Ex,8,Typ,1,Attchd,2005.0,Fin,2.0,575.0,TA,TA,Y,243,0,0,7,2006,New,344133,2.5,142
20,RL,64.5,7980,Pave,IR1,Lvl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,PConc,Gd,TA,No,1168.0,GasA,Ex,Y,SBrkr,1187,3,1,TA,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,0,500,3,2010,WD ,185000,3.0,21
190,RL,100.0,34650,Pave,Reg,Bnk,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,1056.0,GasA,TA,N,SBrkr,1056,3,1,TA,5,Typ,0,Attchd,1955.0,Fin,2.0,572.0,TA,TA,Y,264,0,0,1,2006,WD ,145000,2.0,0
20,RL,92.0,10573,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,TA,CBlock,TA,TA,No,1453.0,GasA,Ex,Y,SBrkr,1453,3,1,TA,6,Typ,1,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,0,0,4,2009,WD ,187500,3.0,337
20,RL,65.0,8450,Pave,Reg,Lvl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,894.0,GasA,Ex,Y,SBrkr,894,3,1,TA,5,Typ,1,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,0,0,4,2010,WD ,138500,2.0,144
50,RL,74.6,11700,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,942.0,GasA,Ex,Y,SBrkr,1938,4,1,Gd,7,Min2,1,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,7,2008,WD ,198000,2.0,40
190,C (all),75.0,8250,Pave,Reg,Lvl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,957.0,GasA,Fa,N,SBrkr,1991,4,2,TA,9,Typ,0,NA,0,NA,0.0,0.0,NA,NA,N,0,0,0,6,2007,WD ,119600,2.0,133
50,RL,60.0,8064,Pave,Reg,Lvl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,Mn,672.0,GasA,Ex,Y,SBrkr,924,3,1,TA,6,Typ,1,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,2000,7,2007,WD ,122900,1.0,0
20,RL,80.0,9600,Pave,Reg,Lvl,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,TA,PConc,Gd,TA,No,2524.0,GasA,TA,Y,SBrkr,2524,4,1,Gd,9,Typ,1,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,0,0,7,2009,WD ,278000,3.5,120
70,RL,73.9,11435,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,TA,PConc,Gd,TA,No,792.0,GasA,Fa,Y,SBrkr,1517,3,1,Gd,7,Typ,2,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,6,2006,WD ,230000,1.0,0
120,RL,30.0,9549,Pave,IR1,Lvl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,Gd,PConc,Gd,Gd,Av,1494.0,GasA,Ex,Y,SBrkr,1494,2,1,Ex,6,Typ,1,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,0,0,4,2006,WD ,270000,2.5,246
20,RL,60.0,10950,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,948.0,GasA,TA,Y,SBrkr,948,2,1,TA,5,Typ,0,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,0,0,4,2007,WD ,125000,1.0,48
20,RL,79.0,10637,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,1705.0,GasA,Ex,Y,SBrkr,1718,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,0,0,9,2009,WD ,297000,3.0,44
20,RL,80.0,9000,Pave,IR1,HLS,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,TA,CBlock,Gd,TA,Gd,160.0,GasA,Fa,Y,SBrkr,1142,2,1,TA,5,Typ,1,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,0,0,4,2009,WD ,113500,1.0,92
160,RM,41.0,2665,Pave,Reg,Lvl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,TA,TA,No,757.0,GasA,Ex,Y,SBrkr,1475,4,1,TA,6,Typ,1,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,104,0,0,7,2006,WD ,127000,2.0,26
20,RL,105.0,11751,Pave,IR1,Lvl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,1844.0,GasA,Ex,Y,SBrkr,1844,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,0,0,1,2010,COD,190000,2.0,122
20,RL,80.0,9600,Pave,Reg,Lvl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,1242.0,GasA,Fa,Y,SBrkr,1242,3,1,TA,6,Typ,1,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,0,9,2007,WD ,175500,1.5,0
20,RL,60.0,8428,Pave,IR2,Lvl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,PConc,Gd,Gd,No,990.0,GasA,Ex,Y,SBrkr,990,3,1,TA,5,Typ,0,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,256,0,0,7,2007,WD ,146000,2.0,0
20,RL,75.0,9937,Pave,Reg,Lvl,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,CBlock,TA,TA,No,1256.0,GasA,Gd,Y,SBrkr,1256,3,1,TA,6,Typ,0,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,736,0,0,6,2008,WD ,147500,2.5,68
20,RL,107.0,13891,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,NA,0,Ex,TA,PConc,Ex,Gd,Gd,2076.0,GasA,Ex,Y,SBrkr,2076,2,1,Ex,7,Typ,1,Attchd,2006.0,Fin,3.0,850.0,TA,TA,Y,216,0,0,9,2006,New,465000,3.5,229
85,RL,67.5,9101,Pave,IR1,Lvl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,TA,Gd,PConc,Gd,TA,Av,1097.0,GasA,Ex,Y,SBrkr,1110,1,1,Gd,4,Typ,1,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,303,0,0,7,2009,WD ,165500,2.0,30
50,RM,81.0,12150,Pave,Reg,Lvl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,TA,TA,BrkTil,TA,TA,No,1050.0,GasA,Ex,N,FuseF,1795,4,1,TA,7,Typ,0,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,0,0,11,2008,WD ,131500,2.0,0
20,RL,70.0,11200,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,1040.0,GasA,Ex,Y,SBrkr,1040,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,0,2,2008,WD ,129500,2.0,0
70,RL,100.0,9670,Pave,IR1,HLS,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,TA,TA,PConc,TA,Fa,No,608.0,GasA,TA,Y,SBrkr,1873,4,1,TA,9,Typ,2,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,0,6,2008,WD ,257076,1.5,207
50,RL,60.0,10998,Pave,Reg,Lvl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,984.0,GasA,Ex,Y,SBrkr,1604,3,1,TA,6,Min2,0,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,0,0,7,2009,WD ,117000,2.0,68
70,RL,60.0,7200,Pave,Reg,HLS,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,TA,Fa,BrkTil,Gd,TA,No,776.0,GasA,TA,Y,SBrkr,1502,3,1,TA,6,Typ,1,Attchd,1931.0,RFn,1.0,270.0,TA,TA,P,0,0,0,2,2008,WD ,149000,1.5,112
20,RL,80.0,9920,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,TA,TA,CBlock,TA,TA,No,1056.0,GasA,TA,Y,SBrkr,1063,3,1,TA,6,Typ,0,Attchd,1954.0,RFn,1.0,280.0,TA,TA,Y,0,0,0,2,2010,WD ,128000,2.0,164
160,RL,36.0,2448,Pave,Reg,Lvl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,Gd,TA,PConc,Gd,TA,No,764.0,GasA,Ex,Y,SBrkr,1626,2,1,Gd,6,Typ,0,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,0,0,0,10,2008,WD ,155000,2.5,27
160,FV,50.9,2998,Pave,Reg,Lvl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,Gd,TA,PConc,Gd,TA,No,756.0,GasA,Ex,Y,SBrkr,1524,2,1,Gd,4,Typ,0,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,0,0,6,2006,WD ,166000,2.5,32
50,RL,65.0,7804,Pave,Reg,Lvl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,TA,TA,BrkTil,TA,TA,No,1122.0,GasA,TA,Y,SBrkr,1981,4,1,Gd,7,Min2,2,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,431,0,0,12,2009,WD ,135000,3.0,44
60,RL,80.0,16692,Pave,IR1,Lvl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,TA,TA,CBlock,Gd,TA,No,1392.0,GasA,TA,Y,SBrkr,2784,5,1,Gd,12,Typ,2,Attchd,1978.0,RFn,2.0,564.0,TA,TA,Y,0,1,2000,7,2006,WD ,250000,4.5,552
160,RM,21.0,1476,Pave,Reg,Lvl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,TA,TA,No,546.0,GasA,Ex,Y,SBrkr,1092,3,1,TA,5,Typ,0,NA,0,NA,0.0,0.0,NA,NA,Y,200,0,0,3,2010,WD ,76000,1.5,26
20,RL,75.0,10170,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,TA,TA,CBlock,TA,TA,No,216.0,GasA,TA,Y,SBrkr,1575,2,1,Gd,5,Typ,1,Attchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,0,6,2006,WD ,155000,1.5,0
60,RL,80.0,9364,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,TA,TA,CBlock,TA,TA,No,663.0,GasA,TA,Y,SBrkr,1352,4,1,TA,7,Typ,0,Attchd,1969.0,Fin,1.0,299.0,TA,TA,Y,379,0,0,3,2010,WD ,158000,1.5,36
160,FV,24.0,2544,Pave,Reg,Lvl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,PConc,Gd,TA,No,600.0,GasA,Ex,Y,SBrkr,1200,2,1,Gd,4,Typ,0,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,0,0,2,2010,WD ,149500,3.5,172
20,RL,82.0,9888,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1975,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,936.0,GasA,TA,Y,FuseA,936,2,1,TA,5,Typ,0,Attchd,1954.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,3,2006,WD ,121000,1.0,160
20,RL,68.0,7942,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,7,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,1040.0,GasA,TA,Y,FuseF,1040,3,1,TA,6,Typ,0,Attchd,1953.0,Fin,1.0,293.0,TA,TA,Y,0,0,0,6,2007,WD ,136000,1.5,0
60,RL,83.8,15038,Pave,IR2,Lvl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1996,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,916.0,GasA,Gd,Y,SBrkr,1636,3,1,TA,7,Typ,1,Attchd,1996.0,Fin,2.0,386.0,TA,TA,Y,168,0,0,11,2008,WD ,173000,2.5,84
60,RL,92.0,11764,Pave,IR1,Lvl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,1152.0,GasA,Ex,Y,SBrkr,2270,4,1,Gd,9,Typ,1,Attchd,1999.0,Fin,3.0,671.0,TA,TA,Y,132,0,0,4,2010,WD ,290000,2.5,57
60,FV,75.0,9000,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,1184.0,GasA,Ex,Y,SBrkr,2610,4,1,Ex,11,Typ,1,BuiltIn,2007.0,Fin,2.0,550.0,TA,TA,Y,208,0,0,8,2007,New,303477,2.5,364
20,RL,97.5,20062,Pave,IR1,Low,ClearCr,Norm,Norm,1Fam,1Story,7,7,1977,2001,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,CBlock,Gd,TA,Gd,1420.0,GasA,Gd,Y,SBrkr,1483,1,1,TA,4,Typ,2,Attchd,1977.0,RFn,2.0,690.0,TA,TA,Y,496,0,0,4,2010,WD ,270000,2.5,0
50,RM,81.0,7308,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,1920,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,Fa,Fa,BrkTil,TA,TA,No,936.0,GasA,Gd,N,FuseA,1740,2,1,Ex,6,Typ,1,Detchd,1920.0,Unf,1.0,225.0,Fa,Fa,N,0,0,0,6,2008,WD ,122250,1.0,236
20,RL,70.0,8750,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,5,1955,1955,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,CBlock,TA,TA,No,1382.0,GasA,Gd,Y,FuseA,1382,3,1,Gd,6,Typ,0,Attchd,1955.0,Unf,1.0,350.0,TA,TA,Y,280,0,0,7,2009,WD ,153000,1.5,0
